product_id,warehouse,stock_quantity,reorder_level
1,Delhi,192,85
2,Delhi,76,51
3,Bangalore,375,39
4,Bangalore,82,67
5,Hyderabad,239,31
6,Mumbai,478,41
7,Hyderabad,57,47
8,Bangalore,136,38
9,Mumbai,349,73
10,Hyderabad,112,45
11,Mumbai,123,72
12,Delhi,399,78
13,Bangalore,52,66
14,Mumbai,191,54
15,Mumbai,295,98
16,Hyderabad,472,52
17,Bangalore,244,38
18,Delhi,112,99
19,Hyderabad,256,27
20,Delhi,457,44
21,Hyderabad,371,82
22,Mumbai,318,90
23,Bangalore,215,28
24,Delhi,323,82
25,Hyderabad,139,50
26,Bangalore,188,82
27,Hyderabad,189,77
28,Delhi,36,77
29,Delhi,287,43
30,Bangalore,390,85
31,Delhi,63,71
32,Mumbai,11,89
33,Hyderabad,461,51
34,Delhi,180,25
35,Hyderabad,60,77
36,Delhi,474,21
37,Mumbai,448,21
38,Delhi,493,44
39,Delhi,170,89
40,Mumbai,268,56
41,Bangalore,41,25
42,Bangalore,447,53
43,Delhi,408,49
44,Mumbai,429,70
45,Delhi,282,78
46,Bangalore,290,46
47,Hyderabad,147,48
48,Bangalore,378,62
49,Mumbai,198,56
50,Delhi,479,40
51,Bangalore,335,43
52,Hyderabad,134,52
53,Mumbai,271,61
54,Hyderabad,377,74
55,Bangalore,265,20
56,Hyderabad,427,74
57,Mumbai,268,74
58,Bangalore,216,85
59,Hyderabad,96,77
60,Mumbai,356,87
61,Mumbai,426,36
62,Bangalore,94,24
63,Hyderabad,191,82
64,Hyderabad,145,24
65,Delhi,86,84
66,Delhi,151,92
67,Delhi,404,23
68,Delhi,91,54
69,Delhi,156,27
70,Bangalore,204,81
71,Mumbai,406,24
72,Mumbai,445,43
73,Mumbai,32,88
74,Hyderabad,267,63
75,Bangalore,445,77
76,Mumbai,200,44
77,Bangalore,320,65
78,Bangalore,453,57
79,Bangalore,261,79
80,Bangalore,145,39
