order_item_id,order_id,product_id,quantity,unit_price,discount,gross_amount,discount_amount,net_amount
1,10001,21,2,397.38,0.05,794.76,39.738,755.0219999999999
2,10001,17,1,185.05,0.05,185.05,9.252500000000001,175.7975
3,10001,45,1,285.99,0.05,285.99,14.299500000000002,271.6905
4,10002,38,3,497.05,0.0,1491.15,0.0,1491.15
5,10003,62,1,1776.81,0.1,1776.81,177.681,1599.129
6,10003,22,1,440.08,0.0,440.08,0.0,440.08
7,10004,76,1,1769.69,0.2,1769.69,353.93800000000005,1415.752
8,10005,64,4,488.03,0.05,1952.12,97.606,1854.514
9,10005,24,2,913.38,0.1,1826.76,182.67600000000002,1644.084
10,10006,58,2,704.5,0.15,1409.0,211.35,1197.65
11,10006,57,1,568.09,0.0,568.09,0.0,568.09
12,10006,13,1,1159.99,0.0,1159.99,0.0,1159.99
13,10007,48,4,1248.06,0.05,4992.24,249.612,4742.628
14,10007,31,1,1306.96,0.1,1306.96,130.696,1176.2640000000001
15,10007,2,2,559.18,0.1,1118.36,111.836,1006.5239999999999
16,10008,65,1,255.07,0.05,255.07,12.7535,242.3165
17,10008,5,3,287.49,0.0,862.47,0.0,862.47
18,10008,49,2,1437.37,0.05,2874.74,143.737,2731.0029999999997
19,10009,24,3,913.38,0.05,2740.14,137.007,2603.133
20,10009,20,1,1367.01,0.1,1367.01,136.701,1230.309
21,10010,45,3,285.99,0.15,857.97,128.6955,729.2745
22,10010,32,1,1619.76,0.0,1619.76,0.0,1619.76
23,10010,49,2,1437.37,0.0,2874.74,0.0,2874.74
24,10011,32,2,1619.76,0.1,3239.52,323.952,2915.568
25,10011,62,1,1776.81,0.05,1776.81,88.8405,1687.9695
26,10012,41,1,114.52,0.0,114.52,0.0,114.52
27,10012,72,1,1622.44,0.05,1622.44,81.12200000000001,1541.318
28,10012,64,1,488.03,0.0,488.03,0.0,488.03
29,10012,58,2,704.5,0.05,1409.0,70.45,1338.55
30,10013,35,2,264.34,0.15,528.68,79.30199999999999,449.37799999999993
31,10013,5,1,287.49,0.1,287.49,28.749000000000002,258.741
32,10014,57,2,568.09,0.0,1136.18,0.0,1136.18
33,10014,75,1,785.88,0.0,785.88,0.0,785.88
34,10015,68,1,356.37,0.1,356.37,35.637,320.733
35,10016,19,1,1466.67,0.15,1466.67,220.00050000000002,1246.6695
36,10016,41,4,114.52,0.0,458.08,0.0,458.08
37,10017,57,1,568.09,0.2,568.09,113.61800000000001,454.47200000000004
38,10018,12,1,1454.99,0.0,1454.99,0.0,1454.99
39,10018,13,2,1159.99,0.0,2319.98,0.0,2319.98
40,10018,30,1,514.19,0.0,514.19,0.0,514.19
41,10019,69,4,400.9,0.05,1603.6,80.18,1523.4199999999998
42,10019,24,3,913.38,0.15,2740.14,411.02099999999996,2329.1189999999997
43,10020,80,1,1568.67,0.15,1568.67,235.3005,1333.3695
44,10020,73,2,218.0,0.1,436.0,43.6,392.4
45,10020,45,2,285.99,0.0,571.98,0.0,571.98
46,10020,56,4,299.44,0.1,1197.76,119.77600000000001,1077.984
47,10021,16,2,1663.9,0.0,3327.8,0.0,3327.8
48,10022,8,1,706.54,0.05,706.54,35.327,671.213
49,10023,63,1,1121.93,0.05,1121.93,56.096500000000006,1065.8335
50,10023,59,4,1190.98,0.0,4763.92,0.0,4763.92
51,10023,80,1,1568.67,0.0,1568.67,0.0,1568.67
52,10024,70,3,570.36,0.15,1711.08,256.662,1454.418
53,10024,65,1,255.07,0.05,255.07,12.7535,242.3165
54,10025,9,1,945.88,0.0,945.88,0.0,945.88
55,10025,1,1,370.57,0.0,370.57,0.0,370.57
56,10026,51,1,229.5,0.05,229.5,11.475000000000001,218.025
57,10026,28,1,1365.65,0.0,1365.65,0.0,1365.65
58,10026,79,1,1747.49,0.0,1747.49,0.0,1747.49
59,10027,12,1,1454.99,0.05,1454.99,72.7495,1382.2405
60,10027,69,1,400.9,0.0,400.9,0.0,400.9
61,10028,39,2,543.1,0.1,1086.2,108.62,977.58
62,10029,56,2,299.44,0.05,598.88,29.944000000000003,568.936
63,10029,57,1,568.09,0.0,568.09,0.0,568.09
64,10029,49,2,1437.37,0.15,2874.74,431.21099999999996,2443.529
65,10030,58,2,704.5,0.0,1409.0,0.0,1409.0
66,10031,31,2,1306.96,0.15,2613.92,392.088,2221.832
67,10031,69,1,400.9,0.15,400.9,60.13499999999999,340.765
68,10031,73,1,218.0,0.1,218.0,21.8,196.2
69,10032,78,1,764.31,0.0,764.31,0.0,764.31
70,10033,18,1,556.23,0.15,556.23,83.4345,472.7955
71,10033,78,2,764.31,0.0,1528.62,0.0,1528.62
72,10034,68,4,356.37,0.1,1425.48,142.548,1282.932
73,10035,78,1,764.31,0.15,764.31,114.64649999999999,649.6635
74,10035,6,3,872.54,0.1,2617.62,261.762,2355.8579999999997
75,10035,75,1,785.88,0.0,785.88,0.0,785.88
76,10036,9,2,945.88,0.0,1891.76,0.0,1891.76
77,10037,47,1,1100.98,0.0,1100.98,0.0,1100.98
78,10037,37,3,996.1,0.0,2988.3,0.0,2988.3
79,10037,40,2,728.93,0.0,1457.86,0.0,1457.86
80,10038,48,1,1248.06,0.05,1248.06,62.403,1185.657
81,10038,5,1,287.49,0.05,287.49,14.374500000000001,273.1155
82,10039,59,1,1190.98,0.1,1190.98,119.09800000000001,1071.882
83,10040,62,2,1776.81,0.0,3553.62,0.0,3553.62
84,10040,20,2,1367.01,0.0,2734.02,0.0,2734.02
85,10040,19,1,1466.67,0.0,1466.67,0.0,1466.67
86,10041,65,1,255.07,0.0,255.07,0.0,255.07
87,10041,72,1,1622.44,0.0,1622.44,0.0,1622.44
88,10042,32,1,1619.76,0.0,1619.76,0.0,1619.76
89,10043,44,2,643.3,0.2,1286.6,257.32,1029.28
90,10044,1,1,370.57,0.15,370.57,55.585499999999996,314.9845
91,10044,51,1,229.5,0.05,229.5,11.475000000000001,218.025
92,10045,42,3,633.98,0.1,1901.94,190.19400000000002,1711.746
93,10046,62,2,1776.81,0.0,3553.62,0.0,3553.62
94,10047,59,1,1190.98,0.05,1190.98,59.54900000000001,1131.431
95,10048,44,1,643.3,0.0,643.3,0.0,643.3
96,10048,43,1,443.69,0.05,443.69,22.1845,421.5055
97,10049,44,5,643.3,0.15,3216.5,482.47499999999997,2734.025
98,10049,31,2,1306.96,0.05,2613.92,130.696,2483.224
99,10050,8,2,706.54,0.05,1413.08,70.654,1342.426
100,10051,48,1,1248.06,0.15,1248.06,187.20899999999997,1060.8509999999999
101,10051,9,2,945.88,0.1,1891.76,189.17600000000002,1702.584
