order_id,customer_id,order_date,region
10001,229,2025-07-03,West
10002,77,2025-03-16,West
10003,188,2024-04-06,South
10004,270,2025-02-14,West
10005,95,2024-10-15,North
10006,132,2024-09-10,Central
10007,39,2024-07-14,South
10008,72,2025-08-20,South
10009,281,2025-06-05,West
10010,160,2025-05-31,West
10011,187,2025-09-26,South
10012,191,2024-04-27,West
10013,120,2024-06-07,South
10014,220,2024-08-15,South
10015,53,2024-08-03,West
10016,222,2025-11-26,South
10017,131,2024-01-15,South
10018,237,2024-06-05,West
10019,246,2025-10-09,North
10020,226,2024-09-17,West
10021,208,2024-06-05,South
10022,96,2024-02-16,North
10023,200,2024-11-19,North
10024,247,2025-11-15,East
10025,72,2024-05-09,West
10026,185,2025-02-14,North
10027,6,2024-04-04,North
10028,206,2025-09-18,Central
10029,32,2024-10-18,North
10030,99,2024-10-09,Central
10031,256,2024-03-09,South
10032,187,2025-10-21,West
10033,76,2024-01-11,South
10034,177,2024-09-10,West
10035,287,2025-07-03,West
10036,255,2024-05-13,South
10037,190,2025-12-12,North
10038,127,2024-01-23,West
10039,287,2024-12-11,East
10040,254,2024-10-28,North
10041,213,2024-12-28,North
10042,250,2025-01-30,West
10043,84,2024-08-05,South
10044,13,2024-05-20,West
10045,45,2025-09-07,South
10046,127,2024-07-28,West
10047,114,2025-09-14,Central
10048,276,2025-09-07,Central
10049,205,2025-11-13,North
10050,273,2025-04-04,West
10051,58,2024-12-21,South
10052,219,2024-11-19,East
10053,109,2024-05-12,East
10054,279,2024-05-06,North
10055,174,2024-04-15,Central
10056,264,2025-08-26,North
10057,111,2025-01-12,West
10058,187,2024-02-20,West
10059,269,2024-01-29,West
10060,229,2025-04-06,North
10061,156,2024-10-22,South
10062,189,2024-10-23,West
10063,272,2025-12-26,South
10064,2,2025-02-10,South
10065,246,2025-09-04,South
10066,210,2025-02-08,South
10067,286,2024-12-11,Central
10068,13,2025-09-13,South
10069,96,2025-02-23,East
10070,221,2024-06-30,South
10071,238,2024-01-01,South
10072,94,2025-07-20,North
10073,269,2025-01-05,South
10074,171,2025-10-22,South
10075,94,2025-03-06,West
10076,149,2024-11-04,South
10077,112,2024-05-16,South
10078,55,2024-07-20,South
10079,116,2025-03-11,South
10080,143,2024-11-08,Central
10081,201,2024-04-26,East
10082,180,2025-10-27,North
10083,202,2025-07-28,North
10084,53,2024-08-31,Central
10085,180,2025-06-20,South
10086,137,2025-08-24,West
10087,182,2024-03-15,North
10088,1,2025-01-20,Central
10089,44,2024-07-28,West
10090,227,2025-04-19,East
10091,98,2025-02-21,North
10092,208,2024-12-12,South
10093,265,2025-06-12,South
10094,288,2025-10-01,South
10095,271,2024-06-27,South
10096,140,2024-06-30,North
10097,237,2025-10-25,East
10098,72,2024-01-25,East
10099,155,2024-06-28,South
10100,190,2025-12-10,North
10101,268,2025-05-15,Central
10102,107,2024-06-09,East
10103,232,2024-06-25,West
10104,42,2024-10-11,South
10105,190,2024-03-03,North
10106,139,2025-10-23,South
10107,103,2025-10-27,South
10108,171,2024-06-04,West
10109,273,2025-04-13,West
10110,221,2024-02-18,South
10111,213,2024-03-24,Central
10112,56,2024-12-26,South
10113,102,2025-11-19,Central
10114,192,2024-05-27,Central
10115,200,2025-09-21,North
10116,233,2024-12-07,South
10117,227,2025-04-20,East
10118,139,2024-03-03,West
10119,149,2025-12-01,East
10120,115,2024-12-25,Central
10121,63,2025-07-14,West
10122,104,2024-11-22,South
10123,156,2024-05-20,North
10124,273,2024-08-02,West
10125,6,2025-03-10,North
10126,147,2025-12-23,West
10127,184,2024-11-13,South
10128,28,2024-02-01,South
10129,38,2025-10-31,North
10130,119,2024-10-11,West
10131,293,2024-10-31,North
10132,244,2025-03-04,West
10133,68,2025-04-21,East
10134,214,2024-10-12,West
10135,218,2024-05-23,East
10136,177,2025-02-27,North
10137,299,2024-01-19,West
10138,164,2024-01-18,North
10139,58,2025-08-12,South
10140,269,2025-01-05,North
10141,58,2024-06-23,West
10142,288,2024-07-12,Central
10143,105,2025-05-16,East
10144,228,2024-04-22,East
10145,247,2024-04-23,West
10146,188,2024-08-09,North
10147,83,2025-11-08,Central
10148,186,2025-10-05,North
10149,252,2024-09-20,Central
10150,238,2024-02-24,West
10151,184,2025-10-04,West
10152,284,2025-04-02,West
10153,210,2024-06-10,South
10154,296,2025-01-14,East
10155,97,2024-03-27,North
10156,208,2024-02-24,East
10157,137,2025-04-20,East
10158,184,2024-06-26,Central
10159,76,2025-01-25,East
10160,287,2024-12-14,North
10161,142,2024-01-08,South
10162,237,2024-11-08,West
10163,25,2025-03-18,South
10164,290,2024-11-23,South
10165,67,2024-02-23,West
10166,250,2024-08-26,East
10167,118,2024-08-16,East
