product_id,product_name,category,price,cost
1,Laptop 1,Electronics,370.57,266.67
2,Laptop 2,Electronics,559.18,299.22
3,Laptop 3,Electronics,384.46,194.69
4,Laptop 4,Electronics,232.57,155.97
5,Laptop 5,Electronics,287.49,217.54
6,Laptop 6,Electronics,872.54,552.96
7,Laptop 7,Electronics,434.89,277.73
8,Laptop 8,Electronics,706.54,383.22
9,Laptop 9,Electronics,945.88,665.84
10,Laptop 10,Electronics,1267.48,648.6
11,Laptop 11,Electronics,147.62,82.2
12,Laptop 12,Electronics,1454.99,859.02
13,Laptop 13,Electronics,1159.99,716.31
14,Laptop 14,Electronics,220.63,116.93
15,Monitor 1,Electronics,1582.56,772.12
16,Monitor 2,Electronics,1663.9,1084.04
17,Monitor 3,Electronics,185.05,100.9
18,Monitor 4,Electronics,556.23,356.99
19,Monitor 5,Electronics,1466.67,734.71
20,Monitor 6,Electronics,1367.01,832.2
21,Monitor 7,Electronics,397.38,248.66
22,Monitor 8,Electronics,440.08,205.56
23,Monitor 9,Electronics,717.21,402.41
24,Monitor 10,Electronics,913.38,451.54
25,Monitor 11,Electronics,1143.4,538.44
26,Monitor 12,Electronics,714.53,554.97
27,Monitor 13,Electronics,875.56,487.14
28,Monitor 14,Electronics,1365.65,979.52
29,Keyboard 1,Electronics,143.1,76.42
30,Keyboard 2,Electronics,514.19,347.02
31,Keyboard 3,Electronics,1306.96,916.02
32,Keyboard 4,Electronics,1619.76,1047.27
33,Keyboard 5,Electronics,960.09,581.45
34,Keyboard 6,Electronics,995.24,583.12
35,Keyboard 7,Electronics,264.34,149.39
36,Keyboard 8,Electronics,849.55,642.89
37,Keyboard 9,Electronics,996.1,721.28
38,Keyboard 10,Electronics,497.05,381.96
39,Keyboard 11,Electronics,543.1,266.67
40,Keyboard 12,Electronics,728.93,503.83
41,Keyboard 13,Electronics,114.52,87.0
42,Keyboard 14,Electronics,633.98,323.21
43,Mouse 1,Electronics,443.69,209.4
44,Mouse 2,Electronics,643.3,446.82
45,Mouse 3,Electronics,285.99,182.91
46,Mouse 4,Electronics,1611.71,1173.01
47,Mouse 5,Electronics,1100.98,546.22
48,Mouse 6,Electronics,1248.06,889.17
49,Mouse 7,Electronics,1437.37,742.45
50,Mouse 8,Electronics,937.32,472.42
51,Mouse 9,Electronics,229.5,115.72
52,Mouse 10,Electronics,1003.82,721.56
53,Mouse 11,Electronics,1089.37,729.35
54,Mouse 12,Electronics,1362.16,848.1
55,Mouse 13,Electronics,822.45,467.49
56,Mouse 14,Electronics,299.44,221.43
57,Headphones 1,Electronics,568.09,329.21
58,Headphones 2,Electronics,704.5,506.87
59,Headphones 3,Electronics,1190.98,708.53
60,Headphones 4,Electronics,1061.74,609.85
61,Headphones 5,Electronics,692.49,417.35
62,Headphones 6,Electronics,1776.81,976.28
63,Headphones 7,Electronics,1121.93,781.66
64,Headphones 8,Electronics,488.03,300.58
65,Headphones 9,Electronics,255.07,134.33
66,Headphones 10,Electronics,342.92,256.11
67,Headphones 11,Electronics,503.05,290.1
68,Headphones 12,Electronics,356.37,224.29
69,Headphones 13,Electronics,400.9,300.33
70,Headphones 14,Electronics,570.36,374.16
71,Tablet 1,Electronics,378.2,184.78
72,Tablet 2,Electronics,1622.44,1233.29
73,Tablet 3,Electronics,218.0,143.26
74,Tablet 4,Electronics,982.16,550.52
75,Tablet 5,Electronics,785.88,389.76
76,Tablet 6,Electronics,1769.69,1260.07
77,Tablet 7,Electronics,272.71,178.52
78,Tablet 8,Electronics,764.31,478.49
79,Tablet 9,Electronics,1747.49,1301.85
80,Tablet 10,Electronics,1568.67,1114.13
